,area_name,y_value
0,Afghanistan,299
1,Albania,333
2,Algeria,1251
3,Angola,10
4,Argentina,1451
5,Armenia,770
6,Australia,5550
7,Austria,11781
8,Azerbaijan,521
9,Bahrain,688
10,Bangladesh,70
11,Belarus,440
12,Belgium,18431
13,Belize,0
14,Benin,16
15,Bolivia,139
16,Bosnia and Herzegovina,624
17,Botswana,0
18,Brazil,10360
19,Bulgaria,0
20,Burkina Faso,503
21,Burundi,0
22,Cabo Verde,7
23,Cambodia,114
24,Cameroon,555
25,Canada,12968
26,Central African Republic,8
27,Chad,9
28,Chile,4161
29,China,82543
30,Colombia,1406
31,Comoros,0
32,Congo,176
33,Costa Rica,435
34,Croatia,1126
35,Cuba,288
36,Cyprus,426
37,Czechia,4472
38,CÃ´te d'Ivoire,0
39,Democratic Republic of Congo,0
40,Denmark,4269
41,Djibouti,50
42,Dominican Republic,1488
43,Ecuador,3465
44,Egypt,1070
45,El Salvador,56
46,Equatorial Guinea,16
47,Eritrea,29
48,Estonia,1039
49,Eswatini,9
50,Ethiopia,38
51,Finland,1882
52,France,90848
53,Gabon,21
54,Georgia,162
55,Germany,96092
56,Ghana,205
57,Greece,1673
58,Guatemala,61
59,Guinea,111
60,Guinea-Bissau,0
61,Guyana,23
62,Haiti,20
63,Honduras,264
64,Hong Kong,0
65,Hungary,678
66,Iceland,1417
67,India,3082
68,Indonesia,2092
69,Iran,55743
70,Iraq,878
71,Ireland,4604
72,Israel,7851
73,Italy,124632
74,Jamaica,53
75,Japan,3139
76,Jordan,323
77,Kazakhstan,531
78,Kenya,126
79,Kuwait,479
80,Kyrgyzstan,144
81,Laos,0
82,Latvia,509
83,Lebanon,520
84,Lesotho,0
85,Liberia,10
86,Libya,0
87,Lithuania,771
88,Luxembourg,2729
89,Madagascar,70
90,Malawi,0
91,Malaysia,3483
92,Mali,0
93,Malta,213
94,Mauritania,6
95,Mauritius,196
96,Mexico,1688
97,Moldova,752
98,Mongolia,14
99,Montenegro,201
100,Morocco,919
101,Mozambique,0
102,Myanmar,0
103,Namibia,14
104,Nepal,9
105,Netherlands,16700
106,New Zealand,950
107,Nicaragua,5
108,Niger,144
109,Nigeria,214
110,North Macedonia,483
111,Norway,5550
112,Oman,277
113,Pakistan,2818
114,Panama,1673
115,Papua New Guinea,1
116,Paraguay,96
117,Peru,1746
118,Philippines,3094
119,Poland,3627
120,Portugal,10524
121,Qatar,1325
122,Romania,3613
123,Russia,4731
124,Rwanda,102
125,Saudi Arabia,2179
126,Senegal,219
127,Serbia,1624
128,Seychelles,10
129,Sierra Leone,0
130,Singapore,1189
131,Slovakia,471
132,Slovenia,977
133,Somalia,7
134,South Africa,1585
135,South Korea,10156
136,South Sudan,0
137,Spain,126168
138,Sri Lanka,166
139,Sudan,10
140,Suriname,10
141,Sweden,6443
142,Switzerland,20505
143,Syria,16
144,SÃ£o TomÃ© and PrÃ­ncipe,0
145,Taiwan,355
146,Tajikistan,0
147,Tanzania,20
148,Thailand,2067
149,The Gambia,0
150,Togo,41
151,Trinidad and Tobago,103
152,Tunisia,553
153,Turkey,23934
154,Turkmenistan,0
155,Uganda,48
156,Ukraine,1225
157,United Arab Emirates,1505
158,United Kingdom,42465
159,United States,308850
160,Uruguay,400
161,Uzbekistan,266
162,Venezuela,155
163,Vietnam,240
164,Yemen,0
165,Zambia,0
166,Zimbabwe,0
